SITE_ID,NAME_ENG,DESIG,forest_loss_ha,agriculture_gain_ha,urban_gain_ha,forest_2017_ha,forest_2024_ha,total_area_ha,forest_loss_pct,cloud_2017_ha,cloud_2024_ha,cloud_diff_ha,valid_common_ha,valid_common_pct,excluded_pct,cloud_contamination_flag
30647,Cuenca Hidrográfica del Río Capaz (Capazón),Zona Protectora (ZP),1098.93,0.0,0.0,26205.24,25106.31,39925.22,4.19,5647.87,574.58,-5073.29,39925.22,87.5,12.5,True
307,Cerro de María Lionza,Monumento Natural (MN),1013.94,0.0,0.91,11576.67,10562.73,11825.5,8.76,38.85,1.22,-37.63,11825.5,99.66,0.34,False
32732,Cuenca Hidrográfica del Embalse El Cigarrón,Zona Protectora (ZP),997.23,192.76,0.0,12254.75,11257.52,46016.98,8.14,9.81,0.0,-9.81,46016.98,99.98,0.02,False
555705214,El Dorado - Tumeremo,Reserva Forestal (RF),953.43,0.27,305.2,63735.32,62781.89,66079.72,1.5,57.64,14.11,-43.53,66079.72,99.89,0.11,False
20084,De la Ciudad de Rubio,Zona Protectora (ZP),912.66,0.0,146.45,21788.51,20875.85,28049.88,4.19,51.61,5.25,-46.36,28049.88,99.8,0.2,False
333,El Guácharo,Parque Nacional (PN),898.3,0.0,28.5,56591.3,55693.0,60092.47,1.59,1531.17,119.55,-1411.62,60092.47,97.35,2.65,False
324,Mochima,Parque Nacional (PN),842.35,0.0,0.0,28804.81,27962.46,44777.46,2.92,3.61,1.25,-2.36,44777.46,99.99,0.01,False
555705217,Santa Marta,Área Boscosa Bajo Protección (ABBP),835.41,374.32,14.66,10573.94,9738.53,37979.15,7.9,1.61,0.0,-1.61,37979.15,100.0,0.0,False
101161,Cuenca Hidrográfica del Río Pedregal,Zona Protectora (ZP),759.75,18.37,9.41,70664.79,69905.04,196113.72,1.08,0.01,0.0,-0.01,196113.72,100.0,0.0,False
20092,Cuenca Hidrográfica del Río Pedregal,Reserva Nacional Hidraúlica (RNH),750.97,18.4,9.41,70553.14,69802.17,195877.53,1.06,0.01,0.0,-0.01,195877.53,100.0,0.0,False
101166,Cuenca Hidrográfica del Río Cataniapo,Zona Protectora (ZP),744.05,21.5,0.0,146202.55,145458.5,152977.7,0.51,0.11,0.0,-0.11,152977.7,100.0,0.0,False
30032,Cerro Saroche,Parque Nacional (PN),733.55,3.37,0.0,1882.35,1148.8,36176.03,38.97,2.48,0.0,-2.48,36176.03,99.99,0.01,False
555705269,"Cuenca del Río Mucujepe (Zona Sur del Lago de Maracaibo, Artìculo 3, Numeral 3)",Zona Protectora (ZP),709.95,0.0,480.3,13920.4,13210.45,23817.12,5.1,6583.7,1987.77,-4595.93,23817.12,77.96,22.04,True
20096,Cuenca del Río Chuspita,Zona Protectora (ZP),672.17,0.0,33.11,5578.03,4905.86,5782.38,12.05,96.73,0.19,-96.54,5782.38,98.35,1.65,False
101104,Nirgua - Aroa,Área Boscosa Bajo Protección (ABBP),645.0,0.0,0.0,51624.95,50979.95,68281.93,1.25,32.74,2.05,-30.69,68281.93,99.95,0.05,False
101128,Río Guanare Viejo,Área Boscosa Bajo Protección (ABBP),621.65,347.77,46.91,3490.56,2868.91,18647.95,17.81,0.11,0.0,-0.11,18647.95,100.0,0.0,False
30643,Área situada en el Dtto Rojas del Estado Barinas en el margen izquierdo del río Masparro,Zona Protectora (ZP),605.5,162.77,0.48,2201.79,1596.29,6322.29,27.5,0.0,0.0,0.0,6322.29,100.0,0.0,False
10767,San Esteban,Parque Nacional (PN),594.85,0.0,0.0,33248.24,32653.39,39796.15,1.79,1291.93,307.88,-984.05,39796.15,96.37,3.63,False
10781,Sipapo,Reserva Forestal (RF),594.38,424.84,0.0,1787496.23,1786901.85,1976466.01,0.03,797.81,893.58,95.77,1976466.01,99.93,0.07,False
101126,La Danta,Área Boscosa Bajo Protección (ABBP),584.22,201.16,80.54,2811.35,2227.13,13018.07,20.78,0.0,0.0,0.0,13018.07,100.0,0.0,False
10778,Litoral Central,Zona Protectora (ZP),582.71,15.34,181.22,37271.69,36688.98,38875.71,1.56,2.08,0.0,-2.08,38875.71,99.99,0.01,False
555705210,Rio Parguaza,Reserva Forestal (RF),562.75,0.02,0.0,60117.57,59554.82,66003.31,0.94,3.84,0.0,-3.84,66003.31,99.99,0.01,False
335,Yacambú,Parque Nacional (PN),503.88,0.0,0.0,23980.78,23476.9,24462.56,2.1,59.9,410.43,350.53,24462.56,98.12,1.88,False
555705267,Subcuenca del Río Momboy,Zona Protectora (ZP),471.24,166.43,78.37,5119.11,4647.87,12481.65,9.21,1.73,32.95,31.22,12481.65,99.73,0.27,False
20054,Dinira,Parque Nacional (PN),449.27,0.0,2.83,39783.08,39333.81,45389.68,1.13,163.43,31.79,-131.64,45389.68,99.58,0.42,False
101144,Cerro Guanay,Monumento Natural (MN),435.02,0.0,0.0,20027.2,19592.18,34596.34,2.17,815.54,29.81,-785.73,34596.34,97.69,2.31,False
555705283,Macizo Parú - Euaja,Monumento Natural (MN),416.26,0.0,0.0,287375.83,286959.57,308264.62,0.14,6227.34,1460.94,-4766.4,308264.62,97.87,2.13,False
555705218,Fundo Flamerich,Área Boscosa Bajo Protección (ABBP),386.92,0.0,0.0,12164.78,11777.86,13058.4,3.18,1.32,0.0,-1.32,13058.4,99.99,0.01,False
555705222,Fundo Paisolandia,Área Boscosa Bajo Protección (ABBP),381.82,9.19,16.74,5710.77,5328.95,6892.16,6.69,13.88,2.43,-11.45,6892.16,99.77,0.23,False
555705281,"Franja de 100 metros de ancho a ambos márgenes de los ríos Guanare, Tucupido, Boconó, La Yuca y Masparro",Zona Protectora (ZP),358.97,479.75,30.39,6345.94,5986.97,20373.33,5.66,88.92,78.62,-10.3,20373.33,99.37,0.63,False
2246,Medanos de Coro,Parque Nacional (PN),351.33,0.0,0.0,1836.81,1485.48,16659.29,19.13,0.0,0.0,0.0,16659.29,100.0,0.0,False
30031,Dr. Amenodoro Rangel Lamus (Chorro El Indio),Parque Nacional (PN),343.9,0.0,25.05,12413.57,12069.67,14246.85,2.77,889.14,1923.11,1033.97,14246.85,85.64,14.36,True
30033,Dr. Antonio José Uzcátegui Burguera (Sierra de la Culata),Parque Nacional (PN),316.04,0.0,0.0,89552.96,89236.92,187874.71,0.35,12502.53,4193.65,-8308.88,187874.71,93.33,6.67,False
101130,Río Icabaru,Reserva Nacional Hidraúlica (RNH),302.81,0.0,0.0,38967.39,38664.58,39245.72,0.78,7.39,0.0,-7.39,39245.72,99.98,0.02,False
4367,Serranía La Neblina,Parque Nacional (PN),285.73,0.0,0.0,1151740.83,1151455.1,1162967.23,0.02,25823.3,15238.15,-10585.15,1162967.23,97.47,2.53,False
101129,Cerro Machado - El Silencio,Área Boscosa Bajo Protección (ABBP),268.61,0.0,4.63,5177.05,4908.44,5619.8,5.19,2658.48,204.91,-2453.57,5619.8,67.69,32.31,True
555705284,Cuenca del Río Sanchón,Zona Protectora (ZP),259.8,0.0,6.79,6931.55,6671.75,8501.61,3.75,99.95,0.05,-99.9,8501.61,98.84,1.16,False
311,Cerros Matasiete y Guayamurí,Monumento Natural (MN),252.35,0.37,1.66,812.84,560.49,1628.74,31.05,17.7,0.04,-17.66,1628.74,98.92,1.08,False
101122,El Choco,Área Boscosa Bajo Protección (ABBP),221.42,0.88,46.82,15662.26,15440.84,16007.83,1.41,8.4,0.23,-8.17,16007.83,99.95,0.05,False
19290,Arístides Rojas (Morros de San Juan),Monumento Natural (MN),211.84,0.0,0.0,928.41,716.57,2734.52,22.82,0.0,0.0,0.0,2734.52,100.0,0.0,False
67614,El Guache,Parque Nacional (PN),203.65,0.0,0.0,14236.4,14032.75,14896.94,1.43,487.95,424.89,-63.06,14896.94,94.36,5.64,False
101112,El Clavo,Área Boscosa Bajo Protección (ABBP),196.06,538.63,41.21,972.56,776.5,9398.7,20.16,0.18,0.0,-0.18,9398.7,100.0,0.0,False
19287,Juan German Rocío (Cerro Platillón),Monumento Natural (MN),176.91,0.0,0.64,6533.67,6356.76,7937.11,2.71,21.0,0.0,-21.0,7937.11,99.74,0.26,False
