SITE_ID,total_pixels,cloud_2017_pixels,cloud_2024_pixels,cloud_2017_ha,cloud_2024_ha,cloud_diff_ha,valid_common_pixels,valid_common_ha,valid_common_pct,excluded_pct,cloud_contamination_flag
555705212,7285941,9400,29626,94.0,296.26,202.26,7248112,72481.12,99.48,0.52,False
555705213,9096652,15287,19,152.87,0.19,-152.68,9081348,90813.48,99.83,0.17,False
555705214,6614979,5764,1411,57.64,14.11,-43.53,6607972,66079.72,99.89,0.11,False
555705215,76839296,322110,13148,3221.1,131.48,-3089.62,76506739,765067.39,99.57,0.43,False
555705216,6809154,4927,79,49.27,0.79,-48.480000000000004,6804158,68041.58,99.93,0.07,False
555705217,3798076,161,0,1.61,0.0,-1.61,3797915,37979.15,100.0,0.0,False
555705218,1305972,132,0,1.32,0.0,-1.32,1305840,13058.4,99.99,0.01,False
555705219,867827,27670,5469,276.7,54.69,-222.01,836186,8361.86,96.35,3.65,False
555705221,1909672,0,0,0.0,0.0,0.0,1909672,19096.72,100.0,0.0,False
555705222,690803,1388,243,13.88,2.43,-11.450000000000001,689216,6892.16,99.77,0.23,False
555705235,283621,0,0,0.0,0.0,0.0,283621,2836.21,100.0,0.0,False
555705236,34740,0,0,0.0,0.0,0.0,34740,347.40000000000003,100.0,0.0,False
555705237,91939790,1106670,1400728,11066.7,14007.28,2940.58,89912002,899120.02,97.79,2.21,False
555705238,221765,0,0,0.0,0.0,0.0,221765,2217.65,100.0,0.0,False
555705240,14396697,350015,55087,3500.15,550.87,-2949.28,14045371,140453.71,97.56,2.44,False
555705241,2899286,136493,490732,1364.93,4907.32,3542.39,2372540,23725.4,81.83,18.17,True
555705242,257510,0,0,0.0,0.0,0.0,257510,2575.1,100.0,0.0,False
555705266,1663991,0,0,0.0,0.0,0.0,1663991,16639.91,100.0,0.0,False
555705267,1251555,173,3295,1.73,32.95,31.220000000000002,1248165,12481.65,99.73,0.27,False
555705268,1253894,0,0,0.0,0.0,0.0,1253894,12538.94,100.0,0.0,False
555705269,3055006,658370,198777,6583.7,1987.77,-4595.93,2381712,23817.12,77.96,22.04,True
555705270,28469911,3425533,1823717,34255.33,18237.170000000002,-16018.16,24761851,247618.51,86.98,13.02,True
555705271,28845,10,0,0.1,0.0,-0.1,28835,288.35,99.97,0.03,False
555705272,2574455,464,0,4.64,0.0,-4.64,2573991,25739.91,99.98,0.02,False
555705278,121875,0,0,0.0,0.0,0.0,121875,1218.75,100.0,0.0,False
555705279,118167,0,0,0.0,0.0,0.0,118167,1181.67,100.0,0.0,False
555705280,84860,0,4,0.0,0.04,0.04,84856,848.5600000000001,100.0,0.0,False
555705281,2050289,8892,7862,88.92,78.62,-10.300000000000002,2037333,20373.329999999998,99.37,0.63,False
555705283,31498544,622734,146094,6227.34,1460.94,-4766.400000000001,30826462,308264.62,97.87,2.13,False
555705284,860161,9995,5,99.95,0.05,-99.9,850161,8501.61,98.84,1.16,False
