SITE_ID,NAME_ENG,DESIG,layer_name,class_id,class_name,area_ha_2017,area_ha_2024,area_km2_2017,area_km2_2024,area_m2_2017,area_m2_2024,pct_of_zone_2017,pct_of_zone_2024,pixels_2017,pixels_2024,delta_area_ha,delta_pct_points,relative_change_pct
2245,Archipiélago Los Roques,Parque Nacional (PN),parque_nacional_(pn),2,Trees,109.47,161.46,1.0947,1.6146,1094700,1614600,1.9464516863202517,2.8708695466636325,10947,16146,51.99000000000001,0.9244178603433808,47.49246368868184
2245,Archipiélago Los Roques,Parque Nacional (PN),parque_nacional_(pn),4,Flooded vegetation,2706.21,2373.65,27.0621,23.7365,27062100,23736500,48.11827001038392,42.20512510490605,270621,237365,-332.55999999999995,-5.913144905477864,-12.288772859460275
2245,Archipiélago Los Roques,Parque Nacional (PN),parque_nacional_(pn),7,Built area,39.48,43.27,0.3948,0.4327,394800,432700,0.7019814796375585,0.7693702792278915,3948,4327,3.7900000000000063,0.06738879959033295,9.59979736575483
2245,Archipiélago Los Roques,Parque Nacional (PN),parque_nacional_(pn),8,Bare ground,249.42,159.04,2.4942,1.5904,2494200,1590400,4.434858679108405,2.8278402867669024,24942,15904,-90.38,-1.607018392341503,-36.236067677010666
2245,Archipiélago Los Roques,Parque Nacional (PN),parque_nacional_(pn),11,Rangeland,348.78000000000003,453.5,3.4878,4.535,3487800,4535000,6.20154763090141,8.063541059159899,34878,45350,104.71999999999997,1.8619934282584891,30.02465737714317
2246,Medanos de Coro,Parque Nacional (PN),parque_nacional_(pn),1,Water,587.59,948.08,5.875900000000001,9.4808,5875900,9480800,3.527101094944622,5.690998836084852,58759,94808,360.49,2.1638977411402296,61.35060160996613
2246,Medanos de Coro,Parque Nacional (PN),parque_nacional_(pn),2,Trees,1836.81,1485.48,18.3681,14.8548,18368100,14854800,11.025739992520691,8.916826587447604,183681,148548,-351.3299999999999,-2.1089134050730873,-19.127182452186123
2246,Medanos de Coro,Parque Nacional (PN),parque_nacional_(pn),4,Flooded vegetation,228.23,334.32,2.2823,3.3432,2282300,3343200,1.3699863559611485,2.0068082133152134,22823,33432,106.09,0.6368218573540649,46.483810191473516
2246,Medanos de Coro,Parque Nacional (PN),parque_nacional_(pn),5,Crops,209.08,132.82,2.0908,1.3282,2090800,1328200,1.255035478702874,0.7972728729735781,20908,13282,-76.26000000000002,-0.45776260572929584,-36.474076908360445
2246,Medanos de Coro,Parque Nacional (PN),parque_nacional_(pn),7,Built area,114.12,103.55,1.1412,1.0355,1141200,1035500,0.6850231912644537,0.6215751091433068,11412,10355,-10.570000000000007,-0.06344808212114683,-9.262180161233795
2246,Medanos de Coro,Parque Nacional (PN),parque_nacional_(pn),8,Bare ground,3967.04,2615.13,39.6704,26.151300000000003,39670400,26151300,23.81277953622273,15.697727814330625,396704,261513,-1351.9099999999999,-8.115051721892106,-34.07855731225296
2246,Medanos de Coro,Parque Nacional (PN),parque_nacional_(pn),11,Rangeland,9716.42,11039.91,97.1642,110.3991,97164200,110399100,58.32433435038348,66.26879056670482,971642,1103991,1323.4899999999998,7.944456216321342,13.621169113727069
2247,Morrocoy,Parque Nacional (PN),parque_nacional_(pn),1,Water,425.76,675.47,4.2576,6.754700000000001,4257600,6754700,4.963487311491005,7.874593137666359,42576,67547,249.71000000000004,2.911105826175354,58.650413378429164
2247,Morrocoy,Parque Nacional (PN),parque_nacional_(pn),2,Trees,4481.900000000001,4488.57,44.819,44.8857,44819000,44885700,52.24975051994441,52.327509023250606,448190,448857,6.669999999999163,0.0777585033061925,0.14882081260177968
2247,Morrocoy,Parque Nacional (PN),parque_nacional_(pn),4,Flooded vegetation,2909.41,2700.28,29.0941,27.0028,29094100,27002800,33.91774619251466,31.47971983622917,290941,270028,-209.12999999999965,-2.4380263562854942,-7.188055310183153
